idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089673641372061696;2019-01-27  23:56:55;DANNY;DACOLLIRG;57;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089666695717892097;2019-01-27  23:29:19;PENELOPE  FLEMING;PENELOP79223315;2;2;JAVIERFREIRE18  BANCOPICHINCHA  MAS  LUEGO  SUBO  FOTOS  PAPELETA  NOMBRES  NUMERO  CEDULA  CAJEROS;0.34;0.42000000000000004;DES  MOINES,  IA
1089666106619510785;2019-01-27  23:26:59;PASION  DIFERENTE;PASIONDIFERENT1;212;0;WALO_FA  BANCOPICHINCHA  MALOGRA  AMARILLO;0.34;0.42000000000000004;LA  VICTORIA  ,  PERU
1089657001167257603;2019-01-27  22:50:48;PABLO  ISAAC  BAEZ;ISAAKS91;246;0;MARGALLEGOSO  PENCALADAH  LENIN  BANCOPICHINCHA  POLICIAECUADOR  POLICIAECUADOR  SIRVE  DEMOSTRARON  IBARRA  SOLO  SIRVEN  PARARSE  CARRETERA  SACAR  ALMUERZO;0.34;0.42000000000000004;QUITO,  ECUADOR
1089650607475093505;2019-01-27  22:25:24;CW7;CEGARATEM;164;0;FERNANDODAVILAC  BANCOPICHINCHA  CLUBALOFICIAL  DEMOREN  TARJETAS  HINCHAS  DISPONER  COMPRA  ENTRADAS  SERIA  BUENO  CUALQUIER  AICULO  ALIANZA  LIMA  NIVEL  NACIONAL;0.34;0.42000000000000004;LIMA,  PERU
1089649761194516481;2019-01-27  22:22:02;RODRIGO  JOY  WAY;RODRIGO_JW;269;0;WALO_FA  BANCOPICHINCHA  CUANTO  PAGO  AH;0.34;0.42000000000000004;CALLAO,  PERU
1089649229331611653;2019-01-27  22:19:55;JOSE  MENACHO;JMENACHO83;184;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;LIMA
1089648230932144129;2019-01-27  22:15:57;JOSE  MENACHO;JMENACHO83;184;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;LIMA
1089647072863834112;2019-01-27  22:11:21;GUILLERMO  ;ALLIANZIST;145;3;BANCOPICHINCHA  PEQUENO  VEZ  HACE  MAS  BERRINCHE  AGOBIES  PAE  DESARROLLO;0.34;0.42000000000000004;
1089645737670074368;2019-01-27  22:06:03;JOHN  BEJAR;JOHN12_08;59;2;ESMUCHOMASLOQUENOSUNE  EXCELENTE  PUBLICIDAD  BANCO  PICHINCHA  HTTPS  TCOGSMXO6OR5K;0.34;0.42000000000000004;LIMA,  PERU
